Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,Control cells,ligand control cells,nanoparticle control cells,drug-treated cells
14-3-3-beta,R,YWHAB,V,GBL1102651,14-3-3-beta-R-V,0.948294952,1,14-3-3-beta-R-V,NormLog2,-0.04353071,-0.0506966,0.032573905,-0.135440525
14-3-3-epsilon,M,YWHAE,C,GBL1102700,14-3-3-epsilon-M-C,0.939713032,2,14-3-3-epsilon-M-C,NormLog2,0.008897336,0.057345614,-0.049256586,0.340803578
14-3-3-zeta,R,YWHAZ,V,GBL1102652,14-3-3-zeta-R-V,0.950511893,3,14-3-3-zeta-R-V,NormLog2,0.022026852,-0.136868784,0.132547412,-1.548515054
4E-BP1,R,EIF4EBP1,V,GBL1102464,4E-BP1-R-V,0.97384798,4,4E-BP1-R-V,NormLog2,-0.044360893,-0.082723392,0.071248486,-0.899251682
4E-BP1_pS65,R,EIF4EBP1,V,GBL1102475,4E-BP1_pS65-R-V,0.971914163,5,4E-BP1_pS65-R-V,NormLog2,0.003313354,0.007275362,-0.041651878,-0.681559808
53BP1,R,TP53BP1,V,GBL1102510,53BP1-R-V,0.97644104,6,53BP1-R-V,NormLog2,0.096645029,0.159154869,-0.178666124,-0.793718389
A-Raf,R,ARAF,V,GBL1102563,A-Raf-R-V,0.953484692,7,A-Raf-R-V,NormLog2,-0.047725407,-0.100463155,0.091875988,-0.095684078
ACC1,R,ACACA,C,GBL1102647,ACC1-R-C,0.928229115,8,ACC1-R-C,NormLog2,-0.091321545,-0.032176898,0.077468501,-0.073155727
ACC_pS79,R,ACACA,V,GBL1102531,ACC_pS79-R-V,0.953825501,9,ACC_pS79-R-V,NormLog2,-0.034104612,0.062552146,0.007572912,-2.176478728
ADAR1,M,ADAR,V,GBL1102680,ADAR1-M-V,0.917757242,10,ADAR1-M-V,NormLog2,-0.022673095,-0.027832496,0.003767666,0.556406915
