Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,control,drug-10min,drug-30min,drug-60min
14-3-3-beta,R,YWHAB,V,GBL1103606,14-3-3-beta-R-V,0.963360424,1,14-3-3-beta-R-V,NormLinear,0.959950161,1.060888093,0.924524021,0.800454242
14-3-3-epsilon,M,YWHAE,C,GBL1103692,14-3-3-epsilon-M-C,0.910311621,2,14-3-3-epsilon-M-C,NormLinear,0.893594907,1.014689734,0.998456108,0.96552497
14-3-3-zeta,R,YWHAZ,V,GBL1103607,14-3-3-zeta-R-V,0.965967106,3,14-3-3-zeta-R-V,NormLinear,1.120960561,1.26518467,0.597584435,0.297334635
4E-BP1,R,EIF4EBP1,V,GBL1103378,4E-BP1-R-V,0.947983501,4,4E-BP1-R-V,NormLinear,1,1.094184702,0.871238843,0.612112351
4E-BP1_pS65,R,EIF4EBP1,V,GBL1103379,4E-BP1_pS65-R-V,0.964314045,5,4E-BP1_pS65-R-V,NormLinear,1.201034069,1.107498817,0.849932018,0.782254614
53BP1,R,TP53BP1,V,GBL1103467,53BP1-R-V,0.970988133,6,53BP1-R-V,NormLinear,1.563572665,1.18695194,0.722781719,0.698880769
A-Raf,R,ARAF,V,GBL1103519,A-Raf-R-V,0.971538913,7,A-Raf-R-V,NormLinear,1.00200627,1.051912918,0.894898634,0.976331768
ACC1,R,ACACA,C,GBL1103381,ACC1-R-C,0.944898591,8,ACC1-R-C,NormLinear,1.019594234,1.067798885,0.913464554,0.712014078
ACC_pS79,R,ACACA,V,GBL1103380,ACC_pS79-R-V,0.948374694,9,ACC_pS79-R-V,NormLinear,1.543071773,1.348872813,0.463656754,0.303821896
ADAR1,M,ADAR,V,GBL1103635,ADAR1-M-V,0.955221146,10,ADAR1-M-V,NormLinear,0.944062658,0.9740664,1.063466382,1.070725975
Akt,R,AKT1,V,GBL1103375,Akt-R-V,0.96024349,11,Akt-R-V,NormLinear,1.323138916,1.206738491,0.691116935,0.631638524
Akt_pS473,R,AKT1,V,GBL1103372,Akt_pS473-R-V,0.950301052,12,Akt_pS473-R-V,NormLinear,0.697390698,0.977725717,1.057610308,0.994530885
Akt_pT308,R,AKT1,V,GBL1103506,Akt_pT308-R-V,0.974471439,13,Akt_pT308-R-V,NormLinear,0.95088156,1.026188005,0.980055213,0.87384881
AMPK-a2_pS345,R,PRKAA2,V,GBL1103698,AMPK-a2_pS345-R-V,0.898636147,14,AMPK-a2_pS345-R-V,NormLinear,0.86592126,0.859356526,1.247038711,1.21714798
AMPKa,R,PRKAA1,C,GBL1103382,AMPKa-R-C,0.972154491,15,AMPKa-R-C,NormLinear,1.127920925,1.100833475,0.860598688,0.852629388
AMPKa_pT172,R,PRKAA1,C,GBL1103383,AMPKa_pT172-R-C,0.969859028,16,AMPKa_pT172-R-C,NormLinear,1.142172758,1.351535042,0.45939634,0.438147421
Annexin-I,M,ANXA1,V,GBL1103638,Annexin-I-M-V,0.953182492,17,Annexin-I-M-V,NormLinear,1.18232475,1.143318897,0.792608483,0.68960678
Annexin-VII,M,ANXA7,V,GBL1103634,Annexin-VII-M-V,0.87275648,18,Annexin-VII-M-V,NormLinear,0.863337835,0.884838943,1.128674089,1.254366623
AR,R,AR,V,GBL1103448,AR-R-V,0.969269085,19,AR-R-V,NormLinear,1.231029797,1.006070022,1.012250394,0.883697352
ARID1A,R,ARID1A,C,GBL1103554,ARID1A-R-C,0.966148846,20,ARID1A-R-C,NormLinear,2.714978841,1.208999701,0.687498279,0.571552072
Atg3,R,ATG3,V,GBL1103562,Atg3-R-V,0.913380826,21,Atg3-R-V,NormLinear,1.087805178,1.094248113,0.871137365,0.691313282
Atg7,R,ATG7,V,GBL1103563,Atg7-R-V,0.974982713,22,Atg7-R-V,NormLinear,1.295688958,1.199589956,0.702556868,0.433846208
ATM,R,ATM,V,GBL1103543,ATM-R-V,0.957239327,23,ATM-R-V,NormLinear,1.070056788,0.981348541,1.051812636,0.909395675
ATM_pS1981,R,ATM,V,GBL1103699,ATM_pS1981-R-V,0.910665163,24,ATM_pS1981-R-V,NormLinear,0.803344508,0.920450673,1.128725074,1.195103639
ATRX,R,ATRX,C,GBL1103559,ATRX-R-C,0.958240941,25,ATRX-R-C,NormLinear,1.864385267,0.954358973,1.09500454,0.928362051
ATR_pS428,R,ATR,C,GBL1103586,ATR_pS428-R-C,0.969557143,26,ATR_pS428-R-C,NormLinear,1.206475471,1.068484386,0.912367533,0.783133103
Aurora-B,R,AIM1,V,GBL1103551,Aurora-B-R-V,0.965365856,27,Aurora-B-R-V,NormLinear,0.818879985,0.903816877,1.17588799,1.212952303
Axl,R,AXL,V,GBL1103531,Axl-R-V,0.954252593,28,Axl-R-V,NormLinear,0.556294081,0.729881284,1.3787541,1.293123028
b-Actin,R,ACTB,C,GBL1103512,b-Actin-R-C,0.935390751,29,b-Actin-R-C,NormLinear,0.861533891,1.069158962,0.911287997,0.611561841
b-Catenin,R,CTNNB1,V,GBL1103387,b-Catenin-R-V,0.939748397,30,b-Catenin-R-V,NormLinear,1.281005072,1.26688392,0.594865093,0.56020817
b-Catenin_pT41_S45,R,CTNNB1,V,GBL1103513,b-Catenin_pT41_S45-R-V,0.958739975,31,b-Catenin_pT41_S45-R-V,NormLinear,0.93300314,0.953365316,1.043446967,1.140328993
B-Raf,R,BRAF,C,GBL1103599,B-Raf-R-C,0.962847609,32,B-Raf-R-C,NormLinear,1.102613608,1.196773846,0.70706354,0.589692203
B-Raf_pS445,R,BRAF,V,GBL1103391,B-Raf_pS445-R-V,0.974517509,33,B-Raf_pS445-R-V,NormLinear,1.187862417,1.198729568,0.703933762,0.559983345
B7-H4,R,VTCN1,C,GBL1103581,B7-H4-R-C,0.916966525,34,B7-H4-R-C,NormLinear,0.956050637,0.994266251,1.031140186,1.037457204
Bad_pS112,R,BAD,V,GBL1103384,Bad_pS112-R-V,0.967764085,35,Bad_pS112-R-V,NormLinear,0.984949237,1.070389729,0.909318378,0.833647853
Bak,R,BAK1,C,GBL1103385,Bak-R-C,0.964836434,36,Bak-R-C,NormLinear,0.938060951,0.991668939,1.035296713,1.003138581
BAP1,M,BAP1,V,GBL1103694,BAP1-M-V,0.925076944,37,BAP1-M-V,NormLinear,1.024185867,1.013485514,0.996956472,1.040280433
Bax,R,BAX,V,GBL1103386,Bax-R-V,0.959410761,38,Bax-R-V,NormLinear,0.893500336,1.000063484,0.917634962,1.0626166
Bcl-xL,R,BCL2L1,V,GBL1103388,Bcl-xL-R-V,0.968489034,39,Bcl-xL-R-V,NormLinear,0.934247176,0.954150373,1.061430393,1.139022546
Bcl2A1,R,BCL2A1,V,GBL1103533,Bcl2A1-R-V,0.953955198,40,Bcl2A1-R-V,NormLinear,0.692130456,0.806829097,0.731244454,1.384186101
Beclin,G,BECN1,C,GBL1103702,Beclin-G-C,0.896430978,41,Beclin-G-C,NormLinear,0.934715779,0.985492421,1.010367257,1.08686492
Bid,R,BID,C,GBL1103389,Bid-R-C,0.955581887,42,Bid-R-C,NormLinear,1.088419135,1.071344065,0.907791136,0.797882477
Bim,R,BCL2L11,V,GBL1103390,Bim-R-V,0.953741683,43,Bim-R-V,NormLinear,0.94900736,0.915601604,1.157028674,1.191814988
BiP-GRP78,M,HSPA5,C,GBL1103641,BiP-GRP78-M-C,0.870202994,44,BiP-GRP78-M-C,NormLinear,0.766675636,0.942333583,1.015163067,1.158687365
BRD4,R,BRD4,V,GBL1103557,BRD4-R-V,0.964358851,45,BRD4-R-V,NormLinear,1.906249828,1.012778341,0.978341585,1.041457269
c-Abl,R,ABL1,V,GBL1103556,c-Abl-R-V,0.96669711,46,c-Abl-R-V,NormLinear,1.049654379,0.992851549,1.03340416,1.021168138
c-IAP2,R,BIRC3,C,GBL1103564,c-IAP2-R-C,0.944168629,47,c-IAP2-R-C,NormLinear,1.006316263,1.013881425,0.99974966,0.924663815
c-Jun_pS73,R,JUN,V,GBL1103396,c-Jun_pS73-R-V,0.96036637,48,c-Jun_pS73-R-V,NormLinear,0.524475571,0.753506752,1.025484959,1.472922067
c-Kit,R,KIT,V,GBL1103397,c-Kit-R-V,0.971056152,49,c-Kit-R-V,NormLinear,1.086129143,0.958500634,1.088376563,0.957759781
c-Met,M,MET,Q,GBL1103626,c-Met-M-Q,0.933464251,50,c-Met-M-Q,NormLinear,0.964117491,1.004977487,1.013998797,1.047548631
c-Met_pY1234_Y1235,R,MET,V,GBL1103444,c-Met_pY1234_Y1235-R-V,0.932085008,51,c-Met_pY1234_Y1235-R-V,NormLinear,1.010289667,0.948856822,1.103809735,1.112088687
c-Myc,R,MYC,C,GBL1103609,c-Myc-R-C,0.923092682,52,c-Myc-R-C,NormLinear,0.667916141,0.858474614,1.099219862,1.298240616
C-Raf,R,RAF1,C,GBL1103517,C-Raf-R-C,0.975415495,53,C-Raf-R-C,NormLinear,0.900699174,0.928869934,1.13579512,1.015235463
C-Raf_pS338,R,RAF1,V,GBL1103398,C-Raf_pS338-R-V,0.963170182,54,C-Raf_pS338-R-V,NormLinear,1.247308183,0.934027198,1.010819403,1.172510371
Caspase-3,R,CASP3,C,GBL1103392,Caspase-3-R-C,0.950988428,55,Caspase-3-R-C,NormLinear,0.905544241,0.920266869,1.149562764,1.185905121
Caspase-7-cleaved,R,CASP7,C,GBL1103393,Caspase-7-cleaved-R-C,0.956991219,56,Caspase-7-cleaved-R-C,NormLinear,0.715890907,0.956834589,0.889548952,1.134555628
Caspase-8,M,CASP8,Q,GBL1103630,Caspase-8-M-Q,0.891236403,57,Caspase-8-M-Q,NormLinear,1.052620633,1.000801311,1.020682009,1.045345101
Caveolin-1,R,CAV1,V,GBL1103394,Caveolin-1-R-V,0.938693159,58,Caveolin-1-R-V,NormLinear,0.68425532,0.889350521,1.199038766,1.152851297
CD171,M,L1CAM,V,GBL1103672,CD171-M-V,0.90212613,59,CD171-M-V,NormLinear,0.531529943,0.768309823,1.111018306,1.448287651
CD26,R,DPP4,V,GBL1103534,CD26-R-V,0.961702478,60,CD26-R-V,NormLinear,1.030837483,1.002999862,1.017163627,0.98837478
