Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,control,drug-10min,drug-30min,drug-60min
14-3-3-beta,R,YWHAB,V,GBL1103606,14-3-3-beta-R-V,0.963360424,1,14-3-3-beta-R-V,Median-Centered,0.02712435,0.171365423,-0.02712435,-0.235016222
14-3-3-epsilon,M,YWHAE,C,GBL1103692,14-3-3-epsilon-M-C,0.910311621,2,14-3-3-epsilon-M-C,Median-Centered,-0.135885326,0.047460461,0.024192719,-0.024192719
14-3-3-zeta,R,YWHAZ,V,GBL1103607,14-3-3-zeta-R-V,0.965967106,3,14-3-3-zeta-R-V,Median-Centered,0.453760522,0.628372982,-0.453760522,-1.460815569
4E-BP1,R,EIF4EBP1,V,GBL1103378,4E-BP1-R-V,0.947983501,4,4E-BP1-R-V,Median-Centered,0.09942991,0.229286201,-0.09942991,-0.608701707
4E-BP1_pS65,R,EIF4EBP1,V,GBL1103379,4E-BP1_pS65-R-V,0.964314045,5,4E-BP1_pS65-R-V,Median-Centered,0.307914818,0.190942901,-0.190942901,-0.310652089
53BP1,R,TP53BP1,V,GBL1103467,53BP1-R-V,0.970988133,6,53BP1-R-V,Median-Centered,0.755399547,0.3578148,-0.3578148,-0.406328468
A-Raf,R,ARAF,V,GBL1103519,A-Raf-R-V,0.971538913,7,A-Raf-R-V,Median-Centered,0.018724079,0.088847819,-0.144371276,-0.018724079
ACC1,R,ACACA,C,GBL1103381,ACC1-R-C,0.944898591,8,ACC1-R-C,Median-Centered,0.079287233,0.145932062,-0.079287233,-0.438730215
ACC_pS79,R,ACACA,V,GBL1103380,ACC_pS79-R-V,0.948374694,9,ACC_pS79-R-V,Median-Centered,0.964363469,0.770312622,-0.770312622,-1.380143946
ADAR1,M,ADAR,V,GBL1103635,ADAR1-M-V,0.955221146,10,ADAR1-M-V,Median-Centered,-0.108478706,-0.063341201,0.063341201,0.07315608
Akt,R,AKT1,V,GBL1103375,Akt-R-V,0.96024349,11,Akt-R-V,Median-Centered,0.534907136,0.402055666,-0.402055666,-0.531886332
Akt_pS473,R,AKT1,V,GBL1103372,Akt_pS473-R-V,0.950301052,12,Akt_pS473-R-V,Median-Centered,-0.499755867,-0.012293187,0.101013251,0.012293187
Akt_pT308,R,AKT1,V,GBL1103506,Akt_pT308-R-V,0.974471439,13,Akt_pT308-R-V,Median-Centered,-0.021798688,0.088158821,0.021798688,-0.143680649
AMPK-a2_pS345,R,PRKAA2,V,GBL1103698,AMPK-a2_pS345-R-V,0.898636147,14,AMPK-a2_pS345-R-V,Median-Centered,-0.245598416,-0.256577465,0.280600086,0.245598416
AMPKa,R,PRKAA1,C,GBL1103382,AMPKa-R-C,0.972154491,15,AMPKa-R-C,Median-Centered,0.212661532,0.17759185,-0.17759185,-0.19101371
AMPKa_pT172,R,PRKAA1,C,GBL1103383,AMPKa_pT172-R-C,0.969859028,16,AMPKa_pT172-R-C,Median-Centered,0.656984806,0.899802843,-0.656984806,-0.725307804
Annexin-I,M,ANXA1,V,GBL1103638,Annexin-I-M-V,0.953182492,17,Annexin-I-M-V,Median-Centered,0.312672269,0.264273773,-0.264273773,-0.465108222
Annexin-VII,M,ANXA7,V,GBL1103634,Annexin-VII-M-V,0.87275648,18,Annexin-VII-M-V,Median-Centered,-0.211060753,-0.175571087,0.175571087,0.327901204
AR,R,AR,V,GBL1103448,AR-R-V,0.969269085,19,AR-R-V,Median-Centered,0.286717221,-0.004417742,0.004417742,-0.191524196
ARID1A,R,ARID1A,C,GBL1103554,ARID1A-R-C,0.966148846,20,ARID1A-R-C,Median-Centered,1.574320007,0.407192941,-0.407192941,-0.673664099
