Kinase,Data 1,Data 2,Ctrl.IC50,Ctrl.Cmpd
ABL1,43.15,40.11,6.16E-08,Staurosporine
ABL2/ARG,51.88,50.57,1.87E-08,Staurosporine
ACK1,34.29,29.65,2.06E-08,Staurosporine
AKT1,5.12,4.77,8.70E-09,Staurosporine
AKT2,7.79,7.15,2.00E-08,Staurosporine
AKT3,1.93,1.93,5.94E-09,Staurosporine
ALK,30.48,29.20,2.93E-09,Staurosporine
ALK1/ACVRL1,13.93,13.24,2.12E-08,LDN193189
ALK2/ACVR1,13.35,12.31,2.46E-08,LDN193189
ALK3/BMPR1A,38.34,34.10,3.22E-08,LDN193189
ALK4/ACVR1B,16.78,15.06,5.31E-07,LDN193189
ALK5/TGFBR1,9.51,9.19,4.68E-07,LDN193189
ALK6/BMPR1B,15.71,15.01,1.46E-08,LDN193189
ARAF,57.03,56.62,1.71E-08,GW5074
ARK5/NUAK1,15.03,15.02,1.29E-09,Staurosporine
ASK1/MAP3K5,3.77,3.63,2.32E-08,Staurosporine
Aurora A,-1.17,-1.26,9.44E-10,Staurosporine
Aurora B,0.41,0.00,2.63E-09,Staurosporine
Aurora C,10.76,10.16,4.57E-09,Staurosporine
AXL,0.97,0.85,7.18E-09,Staurosporine
BLK,95.76,95.02,1.52E-09,Staurosporine
BMPR2,19.50,19.45,2.12E-07,Staurosporine
BMX/ETK,0.96,0.79,1.04E-08,Staurosporine
BRAF,1.91,1.82,2.56E-08,GW5074
BRK,17.91,17.77,2.63E-07,Staurosporine
BRSK1,6.05,5.65,5.84E-10,Staurosporine
BRSK2,1.03,0.85,2.08E-09,Staurosporine
BTK,0.32,0.27,1.92E-08,Staurosporine
c-Kit,27.61,24.90,5.77E-08,Staurosporine
c-MER,11.83,10.89,1.67E-08,Staurosporine
c-MET,2.04,1.96,1.64E-07,Staurosporine
c-Src,37.34,37.16,3.09E-09,Staurosporine
CAMK1a,12.45,11.61,4.73E-09,Staurosporine
CAMK1b,19.32,18.07,1.16E-08,Staurosporine
CAMK1d,1.80,1.73,6.28E-10,Staurosporine
CAMK1g,2.79,2.72,6.65E-09,Staurosporine
CAMK2a,2.70,2.34,5.89E-11,Staurosporine
CAMK2b,30.59,27.66,8.35E-11,Staurosporine
CAMK2d,43.97,41.52,6.91E-11,Staurosporine
CAMK2g,12.29,12.23,3.10E-10,Staurosporine
CAMK4,2.03,1.52,1.50E-07,Staurosporine
CAMKK1,5.73,4.37,6.59E-08,Staurosporine
CAMKK2,39.58,38.75,2.50E-08,Staurosporine
CDC7/DBF4,18.11,18.05,2.75E-08,Staurosporine
CDK1/cyclin A,89.19,89.07,4.32E-09,Staurosporine
CDK1/cyclin B,80.38,76.44,2.62E-09,Staurosporine
CDK1/cyclin E,8.77,8.59,5.82E-09,Staurosporine
CDK14/cyclin Y (PFTK1),67.46,62.14,2.09E-07,Staurosporine
CDK16/cyclin Y (PCTAIRE),0.86,-0.06,2.17E-08,Staurosporine
CDK17/cyclin Y (PCTK2),35.09,26.33,1.25E-08,Staurosporine
CDK18/cyclin Y (PCTK3),0.44,-0.64,4.01E-08,Staurosporine
CDK19/cyclin C,52.78,52.71,3.61E-11,Staurosporine
CDK2/cyclin A,77.39,73.94,8.56E-10,Staurosporine
CDK2/Cyclin A1,504.63,501.20,1.76E-09,Staurosporine
CDK2/cyclin E,143.39,143.39,2.58E-09,Staurosporine
CDK2/cyclin O,164.40,163.13,2.34E-09,Staurosporine
CDK3/cyclin E,124.52,123.91,4.02E-09,Staurosporine
CDK4/cyclin D1,-0.98,-2.28,1.76E-08,Staurosporine
CDK4/cyclin D3,40.41,39.80,2.42E-08,Staurosporine
CDK5/p25,56.58,56.53,3.61E-09,Staurosporine
CDK5/p35,54.53,51.33,2.66E-09,Staurosporine
CDK6/cyclin D1,-0.30,-0.47,6.28E-09,Staurosporine
CDK6/cyclin D3,31.00,28.41,1.47E-08,Staurosporine
CDK7/cyclin H,19.72,18.08,6.34E-08,Staurosporine
CDK9/cyclin K,1.69,1.30,8.68E-09,Staurosporine
CDK9/cyclin T1,1.09,1.07,3.67E-08,Staurosporine
CDK9/cyclin T2,0.72,0.47,4.61E-09,Staurosporine
CHK1,137.05,134.36,5.13E-10,Staurosporine
CHK2,24.11,23.01,6.93E-09,Staurosporine
CK1a1,4.50,2.92,9.79E-06,Staurosporine
CK1a1L,3.10,2.90,3.68E-06,Staurosporine
CK1d,5.72,5.18,3.64E-07,D4476
CK1epsilon,4.53,3.43,6.07E-07,D4476
CK1g1,10.27,9.49,5.96E-06,Staurosporine
CK1g2,5.67,5.67,2.54E-06,Staurosporine
CK1g3,15.82,15.44,3.11E-06,Staurosporine
CK2a,1.20,1.17,2.32E-07,GW5074
CK2a2,0.40,0.17,5.75E-07,Staurosporine
CLK1,1.25,1.24,1.46E-08,Staurosporine
CLK2,2.80,2.63,7.03E-09,Staurosporine
CLK3,0.15,-0.39,2.04E-06,Staurosporine
CLK4,16.40,15.81,3.89E-08,Staurosporine
COT1/MAP3K8,3.39,3.31,1.08E-05,Ro-31-8220
CSK,17.26,16.12,1.61E-08,Staurosporine
CTK/MATK,3.90,3.27,7.01E-07,Staurosporine
DAPK1,44.90,44.22,2.18E-08,Staurosporine
DAPK2,27.57,27.32,1.05E-08,Staurosporine
DCAMKL1,-0.13,-0.15,1.51E-07,Staurosporine
DCAMKL2,12.77,11.07,6.88E-08,Staurosporine
DDR1,39.77,38.57,2.51E-09,Staurosporine
DDR2,71.10,65.72,5.54E-10,Staurosporine
DLK/MAP3K12,15.29,11.08,1.51E-07,Staurosporine
DMPK,40.38,36.93,3.19E-08,Staurosporine
DMPK2,0.49,0.38,9.33E-10,Staurosporine
DRAK1/STK17A,4.53,3.93,4.05E-08,Staurosporine
DYRK1/DYRK1A,13.51,12.84,4.66E-09,Staurosporine
DYRK1B,8.72,7.70,1.40E-09,Staurosporine
DYRK2,14.79,14.79,1.19E-07,Staurosporine
DYRK3,1.66,1.08,4.55E-08,Staurosporine
DYRK4,1.41,1.38,5.14E-06,GW5074
EGFR,125.81,119.67,3.20E-07,Staurosporine
EPHA1,47.71,47.20,2.05E-07,Staurosporine
EPHA2,6.73,5.95,4.92E-08,Staurosporine
EPHA3,55.92,55.80,4.18E-08,Staurosporine
EPHA4,116.90,101.59,1.71E-08,Staurosporine
EPHA5,70.47,62.98,4.02E-08,Staurosporine
EPHA6,16.18,13.58,4.47E-08,Staurosporine
EPHA7,9.53,8.87,5.49E-08,Staurosporine
EPHA8,11.78,11.55,2.15E-07,Staurosporine
EPHB1,31.70,31.60,4.08E-08,Staurosporine
EPHB2,57.24,51.38,1.02E-07,Staurosporine
EPHB3,14.70,14.31,1.28E-06,Staurosporine
EPHB4,4.52,4.26,1.95E-07,Staurosporine
ERBB2/HER2,150.87,140.54,3.12E-07,Staurosporine
ERBB4/HER4,53.55,51.12,3.47E-07,Staurosporine
ERK1,1.24,1.12,4.06E-08,SCH772984
ERK2/MAPK1,9.53,9.42,2.55E-08,SCH772984
ERK5/MAPK7,3.29,2.65,3.71E-05,Staurosporine
ERK7/MAPK15,0.15,-0.09,1.65E-08,Staurosporine
ERN1/IRE1,29.61,22.60,8.48E-08,Staurosporine
ERN2/IRE2,0.28,-0.02,2.41E-08,Staurosporine
FAK/PTK2,34.62,34.07,1.50E-08,Staurosporine
FER,1.46,1.45,7.54E-10,Staurosporine
FES/FPS,0.59,0.50,2.43E-09,Staurosporine
FGFR1,67.49,64.42,1.14E-08,Staurosporine
FGFR2,57.42,53.88,4.16E-09,Staurosporine
FGFR3,41.95,38.12,1.46E-08,Staurosporine
FGFR4,9.06,8.64,1.95E-07,Staurosporine
FGR,13.53,13.20,1.22E-09,Staurosporine
FLT1/VEGFR1,132.51,129.69,1.21E-08,Staurosporine
FLT3,19.11,18.51,1.91E-09,Staurosporine
FLT4/VEGFR3,73.28,68.58,4.49E-09,Staurosporine
FMS,68.80,64.53,2.72E-09,Staurosporine
FRK/PTK5,92.45,91.10,2.07E-08,Staurosporine
FYN,10.36,9.37,2.68E-09,Staurosporine
GCK/MAP4K2,0.51,0.51,8.91E-10,Staurosporine
GLK/MAP4K3,0.03,-0.50,1.16E-10,Staurosporine
GRK1,125.48,124.75,3.78E-08,Staurosporine
GRK2,127.69,118.10,9.71E-07,Staurosporine
GRK3,22.00,21.86,9.93E-07,Staurosporine
GRK4,3.50,3.24,8.90E-08,Staurosporine
GRK5,159.76,159.55,5.33E-08,Staurosporine
GRK6,9.62,8.35,3.63E-08,Staurosporine
GRK7,17.23,16.98,5.01E-09,Staurosporine
GSK3a,8.88,8.87,9.41E-09,Staurosporine
GSK3b,11.87,10.98,7.02E-09,Staurosporine
Haspin,444.62,440.10,5.33E-08,Staurosporine
HCK,0.76,0.74,3.60E-09,Staurosporine
HGK/MAP4K4,-0.22,-0.41,6.71E-10,Staurosporine
HIPK1,1.45,0.32,5.75E-07,Ro-31-8220
HIPK2,3.14,3.03,1.61E-06,Staurosporine
HIPK3,0.53,-0.29,1.12E-06,Staurosporine
HIPK4,0.30,0.22,6.66E-07,Staurosporine
HPK1/MAP4K1,0.28,0.20,1.06E-07,Ro-31-8220
IGF1R,53.81,48.35,5.62E-08,Staurosporine
IKKa/CHUK,3.01,1.88,2.30E-07,Staurosporine
IKKb/IKBKB,1.18,0.97,4.83E-07,Staurosporine
IKKe/IKBKE,10.02,9.95,3.16E-10,Staurosporine
IR,62.22,58.53,7.00E-08,Staurosporine
IRAK1,0.75,0.41,3.32E-08,Staurosporine
IRAK4,1.90,1.47,7.80E-09,Staurosporine
IRR/INSRR,7.17,7.03,2.12E-08,Staurosporine
ITK,2.05,1.30,9.95E-09,Staurosporine
JAK1,2.90,2.72,5.52E-10,Staurosporine
JAK2,0.40,0.24,3.01E-10,Staurosporine
JAK3,2.00,1.88,1.07E-10,Staurosporine
JNK1,45.51,45.13,9.77E-07,Staurosporine
JNK2,89.87,89.17,2.69E-06,Staurosporine
JNK3,15.84,15.03,4.27E-07,JNKi VIII
KDR/VEGFR2,120.62,107.71,2.15E-08,Staurosporine
KHS/MAP4K5,-1.72,-2.09,2.93E-10,Staurosporine
KSR1,13.14,9.63,8.74E-06,Staurosporine
KSR2,15.33,15.09,6.76E-06,Staurosporine
LATS1,13.69,13.32,1.51E-08,Staurosporine
LATS2,1.16,1.04,3.91E-09,Staurosporine
LCK,38.90,36.54,2.24E-09,Staurosporine
LCK2/ICK,3.81,3.63,7.63E-08,Staurosporine
LIMK1,0.17,-0.26,1.71E-09,Staurosporine
LIMK2,15.28,15.13,1.71E-07,Staurosporine
LKB1,30.95,30.83,5.69E-08,Staurosporine
LOK/STK10,9.70,9.36,1.03E-07,Ro-31-8220
LRRK2,6.01,5.96,3.87E-09,Staurosporine
LYN,16.40,16.00,1.36E-09,Staurosporine
LYN B,110.50,106.98,6.39E-09,Staurosporine
MAK,5.34,4.58,2.36E-08,Staurosporine
MAPKAPK2,60.74,59.84,9.22E-08,Staurosporine
MAPKAPK3,15.58,14.67,3.47E-06,Staurosporine
MAPKAPK5/PRAK,7.05,6.61,4.92E-07,Staurosporine
MARK1,67.70,67.63,2.43E-10,Staurosporine
MARK2/PAR-1Ba,92.87,92.11,1.30E-10,Staurosporine
MARK3,101.42,101.15,3.31E-10,Staurosporine
MARK4,41.29,41.05,1.02E-10,Staurosporine
MEK1,47.16,45.79,2.50E-08,Staurosporine
MEK2,2.96,2.89,4.37E-08,Staurosporine
MEK3,43.99,42.22,1.93E-08,Staurosporine
MEK5,0.39,-0.70,4.19E-08,Staurosporine
MEKK1,4.84,4.32,6.67E-07,Staurosporine
MEKK2,1.88,1.87,3.00E-08,Staurosporine
MEKK3,1.80,1.78,9.47E-09,Staurosporine
MEKK6,17.24,14.41,5.25E-07,Staurosporine
MELK,1.27,1.01,5.36E-10,Staurosporine
MINK/MINK1,0.31,0.26,1.24E-09,Staurosporine
MKK4,1.77,1.70,1.63E-06,Staurosporine
MKK6,17.41,15.98,1.60E-08,Staurosporine
MKK7,0.57,0.45,1.71E-06,Staurosporine
MLCK/MYLK,50.82,50.23,4.64E-08,Staurosporine
MLCK2/MYLK2,26.76,25.94,1.98E-08,Staurosporine
MLK1/MAP3K9,16.98,16.89,1.22E-09,Staurosporine
MLK2/MAP3K10,3.87,3.41,2.34E-09,Staurosporine
MLK3/MAP3K11,3.57,3.30,1.84E-09,Staurosporine
MLK4,4.53,4.21,1.50E-06,Staurosporine
MNK1,1.24,0.27,6.38E-08,Staurosporine
MNK2,0.37,0.01,2.02E-08,Staurosporine
MRCKa/CDC42BPA,3.74,3.71,8.16E-09,Staurosporine
MRCKb/CDC42BPB,9.15,7.73,6.02E-09,Staurosporine
MSK1/RPS6KA5,1.11,0.81,8.11E-10,Staurosporine
MSK2/RPS6KA4,1.12,0.63,2.10E-09,Staurosporine
MSSK1/STK23,13.35,12.83,2.53E-06,Staurosporine
MST1/STK4,52.27,50.47,1.26E-09,Staurosporine
MST2/STK3,4.84,4.53,6.58E-09,Staurosporine
MST3/STK24,1.04,0.47,7.06E-09,Staurosporine
MST4,0.35,0.25,5.53E-09,Staurosporine
MUSK,3.65,3.39,1.90E-07,Staurosporine
MYLK3,37.50,35.83,2.18E-07,Staurosporine
MYLK4,0.51,0.24,8.75E-08,Staurosporine
MYO3A,23.75,22.63,2.63E-08,Staurosporine
MYO3b,1.71,1.70,8.62E-09,Staurosporine
NEK1,1.32,0.78,2.39E-08,Staurosporine
NEK11,2.62,2.33,1.45E-06,Staurosporine
NEK2,0.37,0.37,7.51E-07,Staurosporine
NEK3,0.33,0.19,1.15E-04,Staurosporine
NEK4,0.72,0.65,1.42E-07,Staurosporine
NEK5,1.45,1.20,7.38E-08,Staurosporine
NEK6,0.26,0.04,1.85E-05,PKR Inhibitor
NEK7,4.75,4.11,4.90E-06,PKR Inhibitor
NEK8,12.60,10.39,7.35E-08,Staurosporine
NEK9,1.02,0.65,1.92E-07,Staurosporine
NIM1,2.46,2.41,1.36E-07,Staurosporine
NLK,1.34,1.02,7.92E-08,Staurosporine
OSR1/OXSR1,0.41,0.17,1.34E-07,Staurosporine
P38a/MAPK14,3.26,3.05,2.88E-08,SB202190
P38b/MAPK11,2.08,2.00,4.62E-08,SB202190
P38d/MAPK13,105.00,104.62,2.10E-07,Staurosporine
P38g,3.48,3.07,2.82E-07,Staurosporine
p70S6K/RPS6KB1,3.00,2.81,8.37E-10,Staurosporine
p70S6Kb/RPS6KB2,2.39,1.86,2.36E-09,Staurosporine
PAK1,8.02,7.61,3.14E-10,Staurosporine
PAK2,12.10,11.77,2.36E-09,Staurosporine
PAK3,34.53,33.84,9.09E-10,Staurosporine
PAK4,2.46,2.45,2.94E-08,Staurosporine
PAK5,5.57,5.44,7.11E-09,Staurosporine
PAK6,42.54,38.81,6.77E-08,Staurosporine
PASK,6.23,6.12,1.15E-08,Staurosporine
PBK/TOPK,0.88,0.08,9.98E-08,Staurosporine
PDGFRa,74.47,68.01,1.24E-09,Staurosporine
PDGFRb,14.20,11.64,3.82E-09,Staurosporine
PDK1/PDPK1,18.97,17.25,1.21E-09,Staurosporine
PEAK1,23.17,23.01,3.78E-09,Staurosporine
PHKg1,17.99,16.08,1.77E-09,Staurosporine
PHKg2,4.46,3.66,4.79E-10,Staurosporine
PIM1,0.01,-0.04,6.59E-09,Staurosporine
PIM2,0.81,-0.03,4.34E-08,Staurosporine
PIM3,1.31,1.29,1.51E-10,Staurosporine
PKA,6.42,5.97,1.71E-09,Staurosporine
PKAcb,1.55,1.19,1.65E-09,Staurosporine
PKAcg,0.55,-0.02,3.97E-09,Staurosporine
PKCa,117.04,116.66,6.73E-10,Staurosporine
PKCb1,107.80,107.36,2.91E-09,Staurosporine
PKCb2,82.85,82.25,1.42E-09,Staurosporine
PKCd,17.22,15.07,1.51E-10,Staurosporine
PKCepsilon,44.42,37.93,3.19E-10,Staurosporine
PKCeta,102.42,96.79,4.02E-10,Staurosporine
PKCg,286.87,286.59,1.59E-09,Staurosporine
PKCiota,79.23,74.37,2.47E-08,Staurosporine
PKCmu/PRKD1,26.99,24.93,1.37E-09,Staurosporine
PKCnu/PRKD3,5.57,5.42,1.78E-09,Staurosporine
PKCtheta,179.58,170.62,1.77E-09,Staurosporine
PKCzeta,89.21,84.19,8.41E-08,Staurosporine
PKD2/PRKD2,7.91,7.48,1.87E-09,Staurosporine
PKG1a,102.50,102.30,1.36E-09,Staurosporine
PKG1b,212.75,211.63,3.59E-09,Staurosporine
PKG2/PRKG2,0.20,-0.30,7.53E-10,Staurosporine
PKN1/PRK1,94.38,93.88,2.90E-10,Staurosporine
PKN2/PRK2,149.05,147.74,2.39E-09,Staurosporine
PKN3/PRK3,43.55,38.15,1.16E-08,Staurosporine
PLK1,0.31,0.26,2.15E-07,Staurosporine
PLK2,0.97,0.51,3.62E-07,Staurosporine
PLK3,1.12,1.04,3.86E-09,BI2536
PLK4/SAK,5.80,5.34,9.45E-09,Staurosporine
PRKX,2.07,1.99,2.21E-09,Staurosporine
PYK2,74.62,69.03,6.68E-09,Staurosporine
RAF1,105.19,101.29,9.46E-09,GW5074
RET,33.30,30.83,3.31E-09,Staurosporine
RIPK2,5.10,4.78,1.84E-07,Staurosporine
RIPK3,2.65,2.55,1.23E-06,GW5074
RIPK4,7.75,7.45,6.78E-07,Staurosporine
RIPK5,0.12,-0.51,2.03E-08,Staurosporine
ROCK1,69.74,69.71,6.40E-10,Staurosporine
ROCK2,47.27,45.64,2.84E-10,Staurosporine
RON/MST1R,86.13,84.00,3.40E-07,Staurosporine
ROS/ROS1,48.32,48.19,1.35E-10,Staurosporine
RSK1,0.79,0.67,1.34E-10,Staurosporine
RSK2,4.03,3.44,1.41E-10,Staurosporine
RSK3,3.33,3.32,3.17E-10,Staurosporine
RSK4,6.26,6.06,1.28E-10,Staurosporine
SBK1,3.84,3.52,1.69E-07,Staurosporine
SGK1,1.60,1.54,1.55E-08,Staurosporine
SGK2,-0.21,-0.66,1.75E-08,Staurosporine
SGK3/SGKL,7.73,7.45,1.19E-07,Staurosporine
SIK1,0.81,0.64,3.97E-10,Staurosporine
SIK2,3.06,2.64,3.96E-10,Staurosporine
SIK3,2.94,2.45,1.04E-09,Staurosporine
SLK/STK2,400.04,393.26,1.63E-08,Staurosporine
SNARK/NUAK2,24.30,21.71,1.66E-09,Staurosporine
SNRK,13.19,12.84,2.09E-08,Staurosporine
SRMS,9.53,9.26,8.64E-06,Staurosporine
SRPK1,59.74,56.77,6.28E-08,Staurosporine
SRPK2,88.56,87.40,3.30E-07,Staurosporine
SSTK/TSSK6,1.58,0.37,2.67E-07,Staurosporine
STK16,25.13,25.01,3.40E-07,Staurosporine
STK21/CIT,29.39,29.20,4.21E-07,Staurosporine
STK22D/TSSK1,85.05,83.33,7.33E-11,Staurosporine
STK25/YSK1,1.30,0.89,4.70E-09,Staurosporine
STK32B/YANK2,15.79,12.53,5.40E-08,Staurosporine
STK32C/YANK3,104.17,99.77,2.87E-07,Staurosporine
STK33,3.30,2.68,2.48E-08,Staurosporine
STK38/NDR1,4.79,3.82,1.08E-09,Staurosporine
STK38L/NDR2,23.40,23.03,1.65E-09,Staurosporine
STK39/STLK3,23.23,21.75,2.78E-08,Staurosporine
SYK,4.20,3.78,2.28E-10,Staurosporine
TAK1,77.88,77.38,5.55E-08,Staurosporine
TAOK1,1.47,1.03,1.61E-09,Staurosporine
TAOK2/TAO1,-0.41,-0.45,6.68E-09,Staurosporine
TAOK3/JIK,6.43,5.21,1.03E-09,Staurosporine
TBK1,2.12,1.36,1.85E-09,Staurosporine
TEC,36.75,29.90,6.64E-08,Staurosporine
TESK1,16.35,16.03,5.38E-07,Staurosporine
TESK2,1.56,1.46,1.95E-05,Staurosporine
TGFBR2,5.54,5.40,2.31E-07,LDN193189
TIE2/TEK,5.87,5.20,7.52E-08,Staurosporine
TLK1,234.61,217.05,3.22E-08,Staurosporine
TLK2,97.16,89.85,4.44E-09,Staurosporine
TNIK,20.92,17.08,6.71E-10,Staurosporine
TNK1,46.21,39.17,4.99E-09,Staurosporine
TRKA,23.69,18.21,4.84E-09,Staurosporine
TRKB,35.25,34.98,1.19E-10,Staurosporine
TRKC,2.18,1.97,1.64E-10,Staurosporine
TSSK2,3.37,2.41,8.28E-09,Staurosporine
TSSK3/STK22C,20.28,13.89,8.31E-09,Staurosporine
TTBK1,35.16,31.71,1.99E-05,SB202190
TTBK2,58.20,54.38,6.35E-06,SB202190
TXK,14.51,14.39,2.22E-08,Staurosporine
TYK1/LTK,4.73,3.43,4.23E-08,Staurosporine
TYK2,2.39,2.04,1.69E-10,Staurosporine
TYRO3/SKY,69.41,65.72,5.04E-09,Staurosporine
ULK1,0.39,-0.24,1.10E-08,Staurosporine
ULK2,1.54,1.39,3.00E-09,Staurosporine
ULK3,1.06,1.03,5.12E-09,Staurosporine
VRK1,19.00,18.77,9.87E-07,Ro-31-8220
VRK2,27.50,26.24,5.13E-05,Ro-31-8220
WEE1,8.41,7.54,4.47E-08,Wee-1 Inhibitor
WNK1,2.54,2.15,9.68E-06,Staurosporine
WNK2,0.33,0.16,4.21E-06,Staurosporine
WNK3,10.12,10.10,2.79E-06,Wee-1 Inhibitor
YES/YES1,19.75,19.71,4.66E-09,Staurosporine
YSK4/MAP3K19,46.51,42.21,2.20E-08,Staurosporine
ZAK/MLTK,0.21,-0.01,2.06E-06,GW5074
ZAP70,1.55,1.37,5.50E-09,Staurosporine
ZIPK/DAPK3,0.89,-0.18,7.48E-09,Staurosporine
