Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,Control cells,ligand control cells,nanoparticle control cells,drug-treated cells
14-3-3-beta,R,YWHAB,V,GBL1102651,14-3-3-beta-R-V,0.948294952,1,14-3-3-beta-R-V,RawLog2,0.734224626,0.723760277,0.416289651,-1.442906721
14-3-3-epsilon,M,YWHAE,C,GBL1102700,14-3-3-epsilon-M-C,0.939713032,2,14-3-3-epsilon-M-C,RawLog2,0.569300349,0.614450167,0.117106836,-1.184014942
14-3-3-zeta,R,YWHAZ,V,GBL1102652,14-3-3-zeta-R-V,0.950511893,3,14-3-3-zeta-R-V,RawLog2,1.148223611,0.986029516,0.86470458,-2.507539828
4E-BP1,R,EIF4EBP1,V,GBL1102464,4E-BP1-R-V,0.97384798,4,4E-BP1-R-V,RawLog2,1.33295145,1.291290493,1.054521238,-1.607160871
4E-BP1_pS65,R,EIF4EBP1,V,GBL1102475,4E-BP1_pS65-R-V,0.971914163,5,4E-BP1_pS65-R-V,RawLog2,1.353258669,1.353922218,0.914253847,-1.416836025
53BP1,R,TP53BP1,V,GBL1102510,53BP1-R-V,0.97644104,6,53BP1-R-V,RawLog2,1.401919503,1.461130884,0.73256876,-1.573665447
A-Raf,R,ARAF,V,GBL1102563,A-Raf-R-V,0.953484692,7,A-Raf-R-V,RawLog2,1.415829704,1.359793498,1.161391509,-0.717350499
ACC1,R,ACACA,C,GBL1102647,ACC1-R-C,0.928229115,8,ACC1-R-C,RawLog2,1.099575329,1.155421517,0.874325784,-0.967480385
ACC_pS79,R,ACACA,V,GBL1102531,ACC_pS79-R-V,0.953825501,9,ACC_pS79-R-V,RawLog2,2.094614869,2.187973168,1.742252803,-2.132980779
ADAR1,M,ADAR,V,GBL1102680,ADAR1-M-V,0.917757242,10,ADAR1-M-V,RawLog2,1.580088783,1.571630922,1.212489953,0.07394726
Akt,R,AKT1,V,GBL1102421,Akt-R-V,0.96100688,11,Akt-R-V,RawLog2,2.625034764,2.772908571,2.268817245,0.049655232
Akt_pS473,R,AKT1,V,GBL1102418,Akt_pS473-R-V,0.964709931,12,Akt_pS473-R-V,RawLog2,-0.35866721,-0.427330933,-0.70824112,-2.690315468
Akt_pT308,R,AKT1,V,GBL1102550,Akt_pT308-R-V,0.966705114,13,Akt_pT308-R-V,RawLog2,0.386083017,0.458480869,-0.063266835,-1.56279059
AMPK-a2_pS345,R,PRKAA2,V,GBL1102585,AMPK-a2_pS345-R-V,0.93640554,14,AMPK-a2_pS345-R-V,RawLog2,0.403708158,0.38442527,0.073795263,-1.212661336
AMPKa,R,PRKAA1,C,GBL1102751,AMPKa-R-C,0.949486983,15,AMPKa-R-C,RawLog2,2.613820485,2.569783514,2.369145499,0.191511333
