Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,Control cells,ligand control cells,nanoparticle control cells,drug-treated cells
14-3-3-beta,R,YWHAB,V,GBL1102651,14-3-3-beta-R-V,0.948294952,1,14-3-3-beta-R-V,NormLinear,0.970277477,0.965470042,1.022835335,0.910391804
14-3-3-epsilon,M,YWHAE,C,GBL1102700,14-3-3-epsilon-M-C,0.939713032,2,14-3-3-epsilon-M-C,NormLinear,1.00618622,1.040549512,0.9664342,1.266461814
14-3-3-zeta,R,YWHAZ,V,GBL1102652,14-3-3-zeta-R-V,0.950511893,3,14-3-3-zeta-R-V,NormLinear,1.015385,0.909490968,1.096227637,0.341861757
4E-BP1,R,EIF4EBP1,V,GBL1102464,4E-BP1-R-V,0.97384798,4,4E-BP1-R-V,NormLinear,0.969719302,0.944273448,1.050625485,0.536164765
4E-BP1_pS65,R,EIF4EBP1,V,GBL1102475,4E-BP1_pS65-R-V,0.971914163,5,4E-BP1_pS65-R-V,NormLinear,1.002299281,1.005055634,0.9715419,0.623490806
53BP1,R,TP53BP1,V,GBL1102510,53BP1-R-V,0.97644104,6,53BP1-R-V,NormLinear,1.069283961,1.116632823,0.883519497,0.576855392
A-Raf,R,ARAF,V,GBL1102563,A-Raf-R-V,0.953484692,7,A-Raf-R-V,NormLinear,0.967460452,0.932733504,1.065755122,0.935828403
ACC1,R,ACACA,C,GBL1102647,ACC1-R-C,0.928229115,8,ACC1-R-C,NormLinear,0.938662517,0.977943554,1.055164916,0.950556491
ACC_pS79,R,ACACA,V,GBL1102531,ACC_pS79-R-V,0.953825501,9,ACC_pS79-R-V,NormLinear,0.976637709,1.044311528,1.005262944,0.221215023
ADAR1,M,ADAR,V,GBL1102680,ADAR1-M-V,0.917757242,10,ADAR1-M-V,NormLinear,0.984407057,0.980892884,1.00261496,1.470602064
Akt,R,AKT1,V,GBL1102421,Akt-R-V,0.96100688,11,Akt-R-V,NormLinear,0.977783927,1.085801108,1.003756735,0.696130454
Akt_pS473,R,AKT1,V,GBL1102418,Akt_pS473-R-V,0.964709931,12,Akt_pS473-R-V,NormLinear,1.001899497,0.957518676,1.033260107,0.844582974
Akt_pT308,R,AKT1,V,GBL1102550,Akt_pT308-R-V,0.966705114,13,Akt_pT308-R-V,NormLinear,1.005348604,1.059506291,0.967534883,1.104998007
AMPK-a2_pS345,R,PRKAA2,V,GBL1102585,AMPK-a2_pS345-R-V,0.93640554,14,AMPK-a2_pS345-R-V,NormLinear,0.977181844,0.966414855,1.021596623,1.352427262
AMPKa,R,PRKAA1,C,GBL1102751,AMPKa-R-C,0.949486983,15,AMPKa-R-C,NormLinear,0.960139664,0.933406664,1.064872564,0.760082838
AMPKa_pT172,R,PRKAA1,C,GBL1102729,AMPKa_pT172-R-C,0.926789291,16,AMPKa_pT172-R-C,NormLinear,0.865907387,1.006594603,1.150770082,0.104172135
Annexin-VII,M,ANXA7,V,GBL1102679,Annexin-VII-M-V,0.912783951,17,Annexin-VII-M-V,NormLinear,1.011313131,1.03279672,0.959697092,1.64251082
AR,R,AR,V,GBL1102491,AR-R-V,0.966358854,18,AR-R-V,NormLinear,1.008381989,1.025481736,0.96354881,0.986365214
ARID1A,R,ARID1A,C,GBL1102598,ARID1A-R-C,0.947515242,19,ARID1A-R-C,NormLinear,1.109561748,1.185578515,0.830591758,0.249306247
Atg3,R,ATG3,V,GBL1102606,Atg3-R-V,0.961039297,20,Atg3-R-V,NormLinear,0.986733822,0.944352926,1.050521284,0.677727101
Atg7,R,ATG7,V,GBL1102607,Atg7-R-V,0.968826095,21,Atg7-R-V,NormLinear,1.022469362,0.988040429,0.993244051,0.357204958
