Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,Control cells,ligand control cells,nanoparticle control cells,drug-treated cells
14-3-3-beta,R,YWHAB,V,GBL1102651,14-3-3-beta-R-V,0.948294952,1,14-3-3-beta-R-V,Median-Centered,0.003582945,-0.003582945,0.079687561,-0.088326869
14-3-3-epsilon,M,YWHAE,C,GBL1102700,14-3-3-epsilon-M-C,0.939713032,2,14-3-3-epsilon-M-C,Median-Centered,-0.024224139,0.024224139,-0.082378061,0.307682103
14-3-3-zeta,R,YWHAZ,V,GBL1102652,14-3-3-zeta-R-V,0.950511893,3,14-3-3-zeta-R-V,Median-Centered,0.079447818,-0.079447818,0.189968378,-1.491094089
4E-BP1,R,EIF4EBP1,V,GBL1102464,4E-BP1-R-V,0.97384798,4,4E-BP1-R-V,Median-Centered,0.019181249,-0.019181249,0.134790628,-0.835709539
4E-BP1_pS65,R,EIF4EBP1,V,GBL1102475,4E-BP1_pS65-R-V,0.971914163,5,4E-BP1_pS65-R-V,Median-Centered,0.022482616,0.026444624,-0.022482616,-0.662390546
53BP1,R,TP53BP1,V,GBL1102510,53BP1-R-V,0.97644104,6,53BP1-R-V,Median-Centered,0.137655576,0.200165417,-0.137655576,-0.752707842
A-Raf,R,ARAF,V,GBL1102563,A-Raf-R-V,0.953484692,7,A-Raf-R-V,Median-Centered,0.023979336,-0.028758412,0.163580731,-0.023979336
ACC1,R,ACACA,C,GBL1102647,ACC1-R-C,0.928229115,8,ACC1-R-C,Median-Centered,-0.038655233,0.020489414,0.130134814,-0.020489414
ACC_pS79,R,ACACA,V,GBL1102531,ACC_pS79-R-V,0.953825501,9,ACC_pS79-R-V,Median-Centered,-0.020838762,0.075817996,0.020838762,-2.163212878
ADAR1,M,ADAR,V,GBL1102680,ADAR1-M-V,0.917757242,10,ADAR1-M-V,Median-Centered,-0.01322038,-0.018379782,0.01322038,0.565859629
Akt,R,AKT1,V,GBL1102421,Akt-R-V,0.96100688,11,Akt-R-V,Median-Centered,-0.018911036,0.13226123,0.018911036,-0.509069036
Akt_pS473,R,AKT1,V,GBL1102418,Akt_pS473-R-V,0.964709931,12,Akt_pS473-R-V,Median-Centered,0.032682632,-0.032682632,0.077148312,-0.213744093
Akt_pT308,R,AKT1,V,GBL1102550,Akt_pT308-R-V,0.966705114,13,Akt_pT308-R-V,Median-Centered,-0.037848156,0.037848156,-0.093158417,0.09849977
AMPK-a2_pS345,R,PRKAA2,V,GBL1102585,AMPK-a2_pS345-R-V,0.93640554,14,AMPK-a2_pS345-R-V,Median-Centered,-0.032063348,-0.048047777,0.032063348,0.436788691
AMPKa,R,PRKAA1,C,GBL1102751,AMPKa-R-C,0.949486983,15,AMPKa-R-C,Median-Centered,0.020369256,-0.020369256,0.169733861,-0.316718363
AMPKa_pT172,R,PRKAA1,C,GBL1102729,AMPKa_pT172-R-C,0.926789291,16,AMPKa_pT172-R-C,Median-Centered,-0.108599067,0.108599067,0.301715917,-3.163842372
Annexin-VII,M,ANXA7,V,GBL1102679,Annexin-VII-M-V,0.912783951,17,Annexin-VII-M-V,Median-Centered,-0.01516328,0.01516328,-0.090742018,0.68450983
AR,R,AR,V,GBL1102491,AR-R-V,0.966358854,18,AR-R-V,Median-Centered,0.015924215,0.040183757,-0.049688385,-0.015924215
ARID1A,R,ARID1A,C,GBL1102598,ARID1A-R-C,0.947515242,19,ARID1A-R-C,Median-Centered,0.208889248,0.304490499,-0.208889248,-1.945109772
Atg3,R,ATG3,V,GBL1102606,Atg3-R-V,0.961039297,20,Atg3-R-V,Median-Centered,0.031667417,-0.031667417,0.122039943,-0.510289082
Atg7,R,ATG7,V,GBL1102607,Atg7-R-V,0.968826095,21,Atg7-R-V,Median-Centered,0.045626547,-0.003789086,0.003789086,-1.471607058
ATM,R,ATM,V,GBL1102587,ATM-R-V,0.954308544,22,ATM-R-V,Median-Centered,-0.006969225,0.018089893,0.006969225,-0.729041143
ATM_pS1981,R,ATM,V,GBL1102588,ATM_pS1981-R-V,0.95711835,23,ATM_pS1981-R-V,Median-Centered,-0.019353954,-0.082517203,0.037633364,0.019353954
ATRX,R,ATRX,C,GBL1102603,ATRX-R-C,0.95647014,24,ATRX-R-C,Median-Centered,-0.057922517,0.057922517,-0.234427275,0.157152728
ATR_pS428,R,ATR,C,GBL1102630,ATR_pS428-R-C,0.973760449,25,ATR_pS428-R-C,Median-Centered,0.046785826,-0.046785826,0.273308628,-0.683034195
Aurora-B,R,AIM1,V,GBL1102595,Aurora-B-R-V,0.857902557,26,Aurora-B-R-V,Median-Centered,0.068049976,-0.068049976,-0.348920155,0.139764302
Axl,R,AXL,V,GBL1102575,Axl-R-V,0.955711039,27,Axl-R-V,Median-Centered,0.149936978,0.371619084,-0.253447385,-0.149936978
b-Actin,R,ACTB,C,GBL1102556,b-Actin-R-C,0.950138023,28,b-Actin-R-C,Median-Centered,-0.026505969,0.026505969,0.051861675,-0.182551912
b-Catenin,R,CTNNB1,V,GBL1102426,b-Catenin-R-V,0.869836877,29,b-Catenin-R-V,Median-Centered,0.042320868,0.142547526,-0.042320868,-0.784671523
b-Catenin_pT41_S45,R,CTNNB1,V,GBL1102557,b-Catenin_pT41_S45-R-V,0.961996046,30,b-Catenin_pT41_S45-R-V,Median-Centered,-0.064170645,-0.122838852,0.064170645,0.432926383
B-Raf,R,BRAF,C,GBL1102643,B-Raf-R-C,0.958408754,31,B-Raf-R-C,Median-Centered,0.113995754,0.13262811,-0.113995754,-0.923975821
B-Raf_pS445,R,BRAF,V,GBL1102430,B-Raf_pS445-R-V,0.914871869,32,B-Raf_pS445-R-V,Median-Centered,-0.050687333,0.086073369,0.050687333,-1.069255272
B7-H4,R,VTCN1,C,GBL1102625,B7-H4-R-C,0.936864441,33,B7-H4-R-C,Median-Centered,0.015018201,-0.052071997,-0.015018201,0.02708098
Bad_pS112,R,BAD,V,GBL1102423,Bad_pS112-R-V,0.959577749,34,Bad_pS112-R-V,Median-Centered,0.114264395,0.241689546,-0.114264395,-0.897245791
Bak,R,BAK1,C,GBL1102424,Bak-R-C,0.948564389,35,Bak-R-C,Median-Centered,-0.05715387,-0.074709661,0.05715387,0.273025651
BAP1,M,BAP1,V,GBL1102706,BAP1-M-V,0.936042971,36,BAP1-M-V,Median-Centered,-0.009461812,0.009461812,0.014646498,-0.349675173
Bax,R,BAX,V,GBL1102425,Bax-R-V,0.93706383,37,Bax-R-V,Median-Centered,-0.155093938,-0.0164687,0.0164687,0.260979348
Bcl-xL,R,BCL2L1,V,GBL1102427,Bcl-xL-R-V,0.92166056,38,Bcl-xL-R-V,Median-Centered,-0.202686413,-0.013858105,0.013858105,0.350626267
Bcl2A1,R,BCL2A1,V,GBL1102577,Bcl2A1-R-V,0.969642335,39,Bcl2A1-R-V,Median-Centered,-0.058263313,0.012929996,-0.012929996,0.973409366
Beclin,G,BECN1,C,GBL1102718,Beclin-G-C,0.937617162,40,Beclin-G-C,Median-Centered,-0.057941497,-0.076823438,0.057941497,0.30224843
Bid,R,BID,C,GBL1102428,Bid-R-C,0.946756346,41,Bid-R-C,Median-Centered,-0.032764156,0.052080086,0.032764156,-0.647292062
Bim,R,BCL2L11,V,GBL1102429,Bim-R-V,0.953628354,42,Bim-R-V,Median-Centered,-0.052503214,0.052503214,-0.083782933,0.294253624
BiP-GRP78,M,HSPA5,C,GBL1102686,BiP-GRP78-M-C,0.912335555,43,BiP-GRP78-M-C,Median-Centered,-0.031338055,0.031338055,-0.075450653,0.531964018
BRD4,R,BRD4,V,GBL1102601,BRD4-R-V,0.9611395,44,BRD4-R-V,Median-Centered,0.015709521,0.002367845,-0.002367845,-0.356811144
c-Abl,R,ABL1,V,GBL1102600,c-Abl-R-V,0.954390243,45,c-Abl-R-V,Median-Centered,-0.039575139,-0.069659276,0.039575139,0.484719545
c-IAP2,R,BIRC3,C,GBL1102608,c-IAP2-R-C,0.950823708,46,c-IAP2-R-C,Median-Centered,0.137816376,-0.012177019,0.012177019,-0.546279414
c-Jun_pS73,R,JUN,V,GBL1102435,c-Jun_pS73-R-V,0.967712016,47,c-Jun_pS73-R-V,Median-Centered,0.024364376,-0.011297864,0.011297864,-0.16227191
c-Kit,R,KIT,V,GBL1102721,c-Kit-R-V,0.945065516,48,c-Kit-R-V,Median-Centered,-0.093933534,-0.100662264,0.093933534,0.386892659
c-Met,M,MET,Q,GBL1102671,c-Met-M-Q,0.928289298,49,c-Met-M-Q,Median-Centered,-0.012628179,-0.000759025,0.000759025,0.442660388
c-Met_pY1234_Y1235,R,MET,V,GBL1102487,c-Met_pY1234_Y1235-R-V,0.933063095,50,c-Met_pY1234_Y1235-R-V,Median-Centered,0.022785972,-0.030726694,0.054958695,-0.022785972
c-Myc,R,MYC,C,GBL1102654,c-Myc-R-C,0.957086676,51,c-Myc-R-C,Median-Centered,-0.007995116,0.007995116,-0.095095376,0.368272711
C-Raf,R,RAF1,C,GBL1102561,C-Raf-R-C,0.952127146,52,C-Raf-R-C,Median-Centered,0.047108213,-0.01239746,0.01239746,-0.465729473
C-Raf_pS338,R,RAF1,V,GBL1102722,C-Raf_pS338-R-V,0.886832387,53,C-Raf_pS338-R-V,Median-Centered,-0.105866094,-0.204769855,0.105866094,0.369187328
Caspase-3,R,CASP3,C,GBL1102431,Caspase-3-R-C,0.946313775,54,Caspase-3-R-C,Median-Centered,-0.001331767,0.027903522,-0.029568389,0.001331767
Caspase-7-cleaved,R,CASP7,C,GBL1102432,Caspase-7-cleaved-R-C,0.937767654,55,Caspase-7-cleaved-R-C,Median-Centered,-0.04265544,-0.071545148,0.04265544,0.699555199
Caspase-8,M,CASP8,Q,GBL1102675,Caspase-8-M-Q,0.913163725,56,Caspase-8-M-Q,Median-Centered,-0.053868378,-0.070740335,0.053868378,0.199954861
Caveolin-1,R,CAV1,V,GBL1102433,Caveolin-1-R-V,0.859682917,57,Caveolin-1-R-V,Median-Centered,-0.103079728,0.103079728,-0.298792523,0.482392322
CD171,M,L1CAM,V,GBL1102717,CD171-M-V,0.881776424,58,CD171-M-V,Median-Centered,-0.228269542,0.228269542,-0.275677773,0.799735212
CD26,R,DPP4,V,GBL1102578,CD26-R-V,0.957390669,59,CD26-R-V,Median-Centered,0.070331441,-0.007407329,-0.159809381,0.007407329
CD29,M,CD29,V,GBL1102682,CD29-M-V,0.857768472,60,CD29-M-V,Median-Centered,-0.066909601,-0.012959567,0.012959567,1.557324391
CD31,M,PECAM1,V,GBL1102694,CD31-M-V,0.853503803,61,CD31-M-V,Median-Centered,-0.060761976,0.060761976,-0.070236579,0.799605021
CD44,M,CD44,C,GBL1102688,CD44-M-C,0.858959167,62,CD44-M-C,Median-Centered,-0.031546721,0.031546721,-0.052675733,0.76066667
CD49b,M,ITGA2,V,GBL1102674,CD49b-M-V,0.92147362,63,CD49b-M-V,Median-Centered,-0.043723793,0.009894683,-0.009894683,0.630537765
cdc25C,R,CDC25C,V,GBL1102639,cdc25C-R-V,0.953148882,64,cdc25C-R-V,Median-Centered,0.091695663,-0.024669404,0.024669404,-1.688068366
Cdc2_pY15,R,CDK1,C,GBL1102629,Cdc2_pY15-R-C,0.962044297,65,Cdc2_pY15-R-C,Median-Centered,0.107510145,-0.089581591,0.089581591,-0.503342929
CDK1,R,CDK1,C,GBL1102618,CDK1-R-C,0.956918927,66,CDK1-R-C,Median-Centered,-0.006278471,0.006278471,0.226490484,-1.06447192
Chk1,M,CHEK1,C,GBL1102681,Chk1-M-C,0.929232375,67,Chk1-M-C,Median-Centered,0.106022874,0.046707735,-0.046707735,-0.326529222
Chk1_pS296,R,CHEK1,V,GBL1102584,Chk1_pS296-R-V,0.960472893,68,Chk1_pS296-R-V,Median-Centered,0.165314453,0.089925158,-0.154459556,-0.089925158
Chk2,M,CHEK2,V,GBL1102661,Chk2-M-V,0.899160928,69,Chk2-M-V,Median-Centered,0.065835013,0.15389133,-0.065835013,-0.288525495
Chk2_pT68,R,CHEK2,C,GBL1102434,Chk2_pT68-R-C,0.952719565,70,Chk2_pT68-R-C,Median-Centered,-0.061223078,-0.094522791,0.061223078,0.224359494
Claudin-7,R,CLDN7,V,GBL1102499,Claudin-7-R-V,0.914852919,71,Claudin-7-R-V,Median-Centered,-0.101300716,0.101300716,-0.174070016,1.140972268
COG3,R,COG3,V,GBL1102617,COG3-R-V,0.960909188,72,COG3-R-V,Median-Centered,0.028967381,-0.028967381,0.160719795,-0.646548351
Collagen-VI,R,COL6A1,V,GBL1102645,Collagen-VI-R-V,0.932507496,73,Collagen-VI-R-V,Median-Centered,-0.147765139,-0.314207448,0.147765139,1.443669235
Connexin-43,R,GJA1,C,GBL1102602,Connexin-43-R-C,0.913478552,74,Connexin-43-R-C,Median-Centered,0.214493818,0.249524532,-0.214493818,-1.651218941
Cox-IV,R,PTGS3,V,GBL1102736,Cox-IV-R-V,0.854819803,75,Cox-IV-R-V,Median-Centered,-0.12004261,-0.083042359,0.083042359,0.337060605
Cox2,R,CMC2,C,GBL1102564,Cox2-R-C,0.957505427,76,Cox2-R-C,Median-Centered,-0.202941319,0.202941319,-0.232389651,0.677234954
Creb,R,CREB1,C,GBL1102723,Creb-R-C,0.848506153,77,Creb-R-C,Median-Centered,0.013656569,-0.013656569,0.171085096,-0.29550692
Cyclin-B1,R,CCNB1,V,GBL1102417,Cyclin-B1-R-V,0.959635277,78,Cyclin-B1-R-V,Median-Centered,0.018634006,-0.018634006,0.139473931,-1.145519192
Cyclin-D1,R,CCND1,V,GBL1102646,Cyclin-D1-R-V,0.949979472,79,Cyclin-D1-R-V,Median-Centered,-0.058453216,-0.008830076,0.008830076,0.270133504
Cyclin-D3,M,CCND3,V,GBL1102662,Cyclin-D3-M-V,0.917795021,80,Cyclin-D3-M-V,Median-Centered,0.037943757,-0.188225759,0.188273655,-0.037943757
Cyclin-E1,M,CCNE1,V,GBL1102695,Cyclin-E1-M-V,0.950891369,81,Cyclin-E1-M-V,Median-Centered,-0.058365138,-0.055556141,0.055556141,0.473276425
Cyclophilin-F,M,PPIF,V,GBL1102707,Cyclophilin-F-M-V,0.86826485,82,Cyclophilin-F-M-V,Median-Centered,-0.03032832,0.055242277,0.03032832,-0.849970792
D-a-Tubulin,R,TUBA1A,V,GBL1102591,D-a-Tubulin-R-V,0.948218984,83,D-a-Tubulin-R-V,Median-Centered,-0.023295795,-0.065065645,0.023295795,0.570783888
DJ1,R,PARK7,V,GBL1102503,DJ1-R-V,0.962547054,84,DJ1-R-V,Median-Centered,0.002647525,-0.002647525,0.120400659,-1.663101127
DM-Histone-H3,R,HISTH3,V,GBL1102592,DM-Histone-H3-R-V,0.929011789,85,DM-Histone-H3-R-V,Median-Centered,-0.073310489,-0.055855521,0.055855521,1.930375518
DM-K9-Histone-H3,R,H3K9ME2,C,GBL1102594,DM-K9-Histone-H3-R-C,0.951830212,86,DM-K9-Histone-H3-R-C,Median-Centered,-0.037924861,0.020383266,-0.020383266,1.708446
DUSP4,R,DUSP4,V,GBL1102730,DUSP4-R-V,0.819343353,87,DUSP4-R-V,Median-Centered,-0.012647085,0.268411314,0.012647085,-0.285041261
E-Cadherin,R,CDH1,V,GBL1102532,E-Cadherin-R-V,0.947201403,88,E-Cadherin-R-V,Median-Centered,-0.303679876,0.303679876,-0.382872977,1.252129883
E2F1,M,E2F1,V,GBL1102748,E2F1-M-V,0.800477884,89,E2F1-M-V,Median-Centered,-0.520815413,0.291486203,-0.291486203,1.314794618
eEF2,R,EEF2,C,GBL1102521,eEF2-R-C,0.954977796,90,eEF2-R-C,Median-Centered,-0.038429093,0.125174958,0.038429093,-1.501902873
eEF2K,R,EEF2K,V,GBL1102522,eEF2K-R-V,0.968731381,91,eEF2K-R-V,Median-Centered,0.138972075,0.227139951,-0.138972075,-0.659896467
EGFR,R,EGFR,V,GBL1102536,EGFR-R-V,0.927455259,92,EGFR-R-V,Median-Centered,0.024040023,-0.024040023,-0.184029305,0.072072988
EGFR_pY1173,R,EGFR,V,GBL1102724,EGFR_pY1173-R-V,0.907359855,93,EGFR_pY1173-R-V,Median-Centered,-0.004579247,0.004579247,-0.040640584,0.102227485
eIF4E,R,EIF4E,V,GBL1102486,eIF4E-R-V,0.945256219,94,eIF4E-R-V,Median-Centered,0.018719094,0.025401741,-0.018719094,-1.24210495
eIF4E_pS209,R,EIF4E,V,GBL1102638,eIF4E_pS209-R-V,0.948095608,95,eIF4E_pS209-R-V,Median-Centered,0.032069944,-0.012175198,0.012175198,-0.700416524
eIF4G,R,EIF4G1,C,GBL1102539,eIF4G-R-C,0.956673057,96,eIF4G-R-C,Median-Centered,0.284216464,0.38574212,-0.284216464,-1.804520694
Elk1_pS383,R,ELK1,C,GBL1102725,Elk1_pS383-R-C,0.92422347,97,Elk1_pS383-R-C,Median-Centered,-0.097700975,-0.054553504,0.054553504,0.345292123
EMA,M,MUC1,C,GBL1102712,EMA-M-C,0.859819643,98,EMA-M-C,Median-Centered,-0.451519628,0.451519628,-0.471772069,2.193565401
ENY2,M,ENY2,C,GBL1102684,ENY2-M-C,0.923115173,99,ENY2-M-C,Median-Centered,-0.026272078,0.026272078,-0.037138959,0.167344095
ER,R,ESR1,V,GBL1102422,ER-R-V,0.968930001,100,ER-R-V,Median-Centered,0.006420298,-0.081552828,-0.006420298,0.400445162
ER-a_pS118,R,ESR1,V,GBL1102726,ER-a_pS118-R-V,0.931824132,101,ER-a_pS118-R-V,Median-Centered,-0.115773959,-0.074694507,0.074694507,0.342097924
ERCC1,M,ERCC1,V,GBL1102714,ERCC1-M-V,0.942702783,102,ERCC1-M-V,Median-Centered,-0.012600766,0.031937019,-0.000974334,0.000974334
ERCC5,R,ERCC5,C,GBL1102586,ERCC5-R-C,0.965917909,103,ERCC5-R-C,Median-Centered,0.107285101,0.069002167,-0.069002167,-0.29032524
Ets-1,R,ETS1,V,GBL1102656,Ets-1-R-V,0.935066457,104,Ets-1-R-V,Median-Centered,-0.032826631,0.020083884,-0.020083884,0.067796895
FAK,R,PTK2,C,GBL1102727,FAK-R-C,0.926569966,105,FAK-R-C,Median-Centered,0.099431209,0.312296667,-0.099431209,-0.585646508
FAK_pY397,R,PTK2,V,GBL1102568,FAK_pY397-R-V,0.968635192,106,FAK_pY397-R-V,Median-Centered,0.01623857,-0.01623857,-0.059420817,0.325959277
FASN,R,FASN,V,GBL1102551,FASN-R-V,0.95324506,107,FASN-R-V,Median-Centered,0.032793231,0.258446001,-0.032793231,-0.311484039
Fibronectin,R,FN1,V,GBL1102446,Fibronectin-R-V,0.928484994,108,Fibronectin-R-V,Median-Centered,-0.015436644,-0.068990132,0.015436644,2.841627452
FoxM1,R,FOXM1,V,GBL1102538,FoxM1-R-V,0.964725866,109,FoxM1-R-V,Median-Centered,0.145702675,-0.189318703,0.101442299,-0.101442299
FoxO3a,R,FOX3,C,GBL1102537,FoxO3a-R-C,0.945597998,110,FoxO3a-R-C,Median-Centered,0.042460661,-0.042460661,-0.043156555,0.181689352
FoxO3a_pS318_S321,R,FOXO3,C,GBL1102447,FoxO3a_pS318_S321-R-C,0.946218798,111,FoxO3a_pS318_S321-R-C,Median-Centered,-0.00232325,0.00232325,0.059923133,-0.292432022
FRA-1,R,FOSL1,C,GBL1102655,FRA-1-R-C,0.955083109,112,FRA-1-R-C,Median-Centered,0.162596758,-0.003986903,0.003986903,-0.115276834
G6PD,R,G6PD,V,GBL1102628,G6PD-R-V,0.93962801,113,G6PD-R-V,Median-Centered,0.000310838,-0.000310838,-0.230304903,0.075895297
Gab2,R,GAB2,V,GBL1102508,Gab2-R-V,0.973758422,114,Gab2-R-V,Median-Centered,0.133982493,0.305752482,-0.451489995,-0.133982493
GAPDH,M,GAPDH,C,GBL1102738,GAPDH-M-C,0.828881661,115,GAPDH-M-C,Median-Centered,0.11626602,-0.00241244,0.00241244,-2.593652684
GATA3,M,GATA3,V,GBL1102698,GATA3-M-V,0.935655056,116,GATA3-M-V,Median-Centered,-0.127881108,0.127881108,-0.162493907,1.014773955
GCLM,R,GCLM,C,GBL1102626,GCLM-R-C,0.946066217,117,GCLM-R-C,Median-Centered,-0.002937233,-0.038586519,0.002937233,0.114402282
GCN5L2,R,KAT2A,V,GBL1102573,GCN5L2-R-V,0.978168483,118,GCN5L2-R-V,Median-Centered,0.156265694,-0.014877929,0.014877929,-0.224791065
Glutamate-D1-2,R,GLUD1,C,GBL1102609,Glutamate-D1-2-R-C,0.911312277,119,Glutamate-D1-2-R-C,Median-Centered,0.046791522,-0.005892021,0.005892021,-0.783334699
Glutaminase,R,GLS,C,GBL1102599,Glutaminase-R-C,0.963168863,120,Glutaminase-R-C,Median-Centered,0.039108401,-0.039108401,0.155822315,-0.439884401
Granzyme-B,R,GZMB,V,GBL1102633,Granzyme-B-R-V,0.950057936,121,Granzyme-B-R-V,Median-Centered,0.091308871,0.08352077,-0.08352077,-1.088226185
GSK-3a-b,M,GSK3A/GSK3B,V,GBL1102696,GSK-3a-b-M-V,0.950070496,122,GSK-3a-b-M-V,Median-Centered,-0.002385696,0.002385696,0.175941778,-0.363360505
GSK-3a-b_pS21_S9,R,GSK3A GSK3B,V,GBL1102448,GSK-3a-b_pS21_S9-R-V,0.909682118,123,GSK-3a-b_pS21_S9-R-V,Median-Centered,0.003316535,-0.003316535,0.159531607,-1.458666364
Gys,R,GYS1,V,GBL1102518,Gys-R-V,0.88020156,124,Gys-R-V,Median-Centered,-0.053834677,0.133795857,0.053834677,-1.980248418
Gys_pS641,R,GYS1,V,GBL1102519,Gys_pS641-R-V,0.913043854,125,Gys_pS641-R-V,Median-Centered,0.113788415,0.094920787,-0.094920787,-1.96271971
H2AX_pS140,M,H2AFX,C,GBL1102690,H2AX_pS140-M-C,0.934290635,126,H2AX_pS140-M-C,Median-Centered,-0.095523462,0.095523462,-0.192697852,0.487592259
HER2,M,ERBB2,V,GBL1102703,HER2-M-V,0.931512944,127,HER2-M-V,Median-Centered,-0.110244377,0.110244377,-0.340674053,0.544629519
HER2_pY1248,R,ERBB2,C,GBL1102526,HER2_pY1248-R-C,0.948376782,128,HER2_pY1248-R-C,Median-Centered,0.052665163,-0.052665163,-0.060536936,0.536365076
HER3,R,ERBB3,V,GBL1102653,HER3-R-V,0.956323037,129,HER3-R-V,Median-Centered,0.015043833,-0.015043833,-0.136350969,0.322496304
HER3_pY1289,R,ERBB3,C,GBL1102488,HER3_pY1289-R-C,0.905197385,130,HER3_pY1289-R-C,Median-Centered,-0.048704263,0.048704263,0.123484454,-0.086333465
Heregulin,R,NRG1,V,GBL1102502,Heregulin-R-V,0.971705276,131,Heregulin-R-V,Median-Centered,-0.023799983,-0.040535668,0.023799983,0.464035339
HES1,R,HES1,V,GBL1102604,HES1-R-V,0.96590541,132,HES1-R-V,Median-Centered,-0.106261744,0.165451736,0.106261744,-0.127133042
Hexokinase-II,R,HK2,V,GBL1102514,Hexokinase-II-R-V,0.96579341,133,Hexokinase-II-R-V,Median-Centered,-0.004094544,-0.079184385,0.038185809,0.004094544
Hif-1-alpha,M,HIF1A,C,GBL1102689,Hif-1-alpha-M-C,0.843187985,134,Hif-1-alpha-M-C,Median-Centered,0.109657426,0.353101949,-0.109657426,-0.414746518
Histone-H3,R,HIST3H3,V,GBL1102571,Histone-H3-R-V,0.947459442,135,Histone-H3-R-V,Median-Centered,-0.122349149,0.122349149,-0.165963243,4.028816614
HSP27,M,HSBP1,C,GBL1102664,HSP27-M-C,0.919512296,136,HSP27-M-C,Median-Centered,-0.032340389,0.032340389,-0.076303955,0.485052837
HSP70,R,HSPA1A,C,GBL1102450,HSP70-R-C,0.960781464,137,HSP70-R-C,Median-Centered,-0.017495468,0.017495468,0.127459121,-0.094422068
IGF1R_pY1135_Y1136,R,IGF1R,V,GBL1102565,IGF1R_pY1135_Y1136-R-V,0.967416065,138,IGF1R_pY1135_Y1136-R-V,Median-Centered,-0.058127765,-0.119416669,0.058127765,0.444146748
IGFBP2,R,IGFBP2,V,GBL1102451,IGFBP2-R-V,0.911041662,139,IGFBP2-R-V,Median-Centered,0.012806041,-0.012806041,-0.056878191,3.252115759
IGFRb,R,IGF1R,C,GBL1102452,IGFRb-R-C,0.875844534,140,IGFRb-R-C,Median-Centered,0.046939011,0.298493488,-0.046939011,-0.367591287
INPP4b,R,INPP4B,V,GBL1102525,INPP4b-R-V,0.961611945,141,INPP4b-R-V,Median-Centered,-0.054112493,-0.073931422,0.054112493,0.461215187
IR-b,R,INSRB,C,GBL1102605,IR-b-R-C,0.963705095,142,IR-b-R-C,Median-Centered,-0.084093157,0.084093157,-0.122557694,0.561309181
IRF-1,R,IRF1,C,GBL1102657,IRF-1-R-C,0.956759674,143,IRF-1-R-C,Median-Centered,-0.030388366,-0.119204628,0.030388366,0.338575469
IRS1,R,IRS1,V,GBL1102495,IRS1-R-V,0.940109138,144,IRS1-R-V,Median-Centered,0.184945414,0.056029356,-0.056029356,-0.140782593
Jagged1,R,JAG1,V,GBL1102597,Jagged1-R-V,0.955302693,145,Jagged1-R-V,Median-Centered,-0.001876806,-0.090189078,0.001876806,0.0567201
Jak2,R,JAK2,V,GBL1102555,Jak2-R-V,0.9632276,146,Jak2-R-V,Median-Centered,0.065689825,0.168218583,-0.065689825,-0.947675175
JNK2,R,MAPK9,C,GBL1102453,JNK2-R-C,0.969219784,147,JNK2-R-C,Median-Centered,0.032899427,-0.00496367,0.00496367,-0.88839036
JNK_pT183_Y185,R,MAPK8,V,GBL1102501,JNK_pT183_Y185-R-V,0.965918296,148,JNK_pT183_Y185-R-V,Median-Centered,-0.010911793,-0.058312187,0.010911793,0.403711668
