Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,control,drug-10min,drug-30min,drug-60min
14-3-3-beta,R,YWHAB,V,GBL1103606,14-3-3-beta-R-V,0.963360424,1,14-3-3-beta-R-V,NormLog2,-0.05896859,0.085272483,-0.11321729,-0.321109162
14-3-3-epsilon,M,YWHAE,C,GBL1103692,14-3-3-epsilon-M-C,0.910311621,2,14-3-3-epsilon-M-C,NormLog2,-0.162307131,0.021038656,-0.002229086,-0.050614524
14-3-3-zeta,R,YWHAZ,V,GBL1103607,14-3-3-zeta-R-V,0.965967106,3,14-3-3-zeta-R-V,NormLog2,0.164735521,0.33934798,-0.742785523,-1.749840571
4E-BP1,R,EIF4EBP1,V,GBL1103378,4E-BP1-R-V,0.947983501,4,4E-BP1-R-V,NormLog2,0,0.129856291,-0.198859819,-0.708131617
4E-BP1_pS65,R,EIF4EBP1,V,GBL1103379,4E-BP1_pS65-R-V,0.964314045,5,4E-BP1_pS65-R-V,NormLog2,0.264277075,0.147305158,-0.234580643,-0.354289831
53BP1,R,TP53BP1,V,GBL1103467,53BP1-R-V,0.970988133,6,53BP1-R-V,NormLog2,0.644846268,0.247261521,-0.468368078,-0.516881747
A-Raf,R,ARAF,V,GBL1103519,A-Raf-R-V,0.971538913,7,A-Raf-R-V,NormLog2,0.002891537,0.073015276,-0.160203818,-0.034556621
ACC1,R,ACACA,C,GBL1103381,ACC1-R-C,0.944898591,8,ACC1-R-C,NormLog2,0.027995119,0.094639948,-0.130579348,-0.490022329
ACC_pS79,R,ACACA,V,GBL1103380,ACC_pS79-R-V,0.948374694,9,ACC_pS79-R-V,NormLog2,0.625805168,0.431754321,-1.108870924,-1.718702247
ADAR1,M,ADAR,V,GBL1103635,ADAR1-M-V,0.955221146,10,ADAR1-M-V,NormLog2,-0.08304548,-0.037907975,0.088774427,0.098589306
Akt,R,AKT1,V,GBL1103375,Akt-R-V,0.96024349,11,Akt-R-V,NormLog2,0.403964538,0.271113068,-0.532998264,-0.66282893
Akt_pS473,R,AKT1,V,GBL1103372,Akt_pS473-R-V,0.950301052,12,Akt_pS473-R-V,NormLog2,-0.519960974,-0.032498295,0.080808144,-0.00791192
Akt_pT308,R,AKT1,V,GBL1103506,Akt_pT308-R-V,0.974471439,13,Akt_pT308-R-V,NormLog2,-0.072662442,0.037295067,-0.029065066,-0.194544403
AMPK-a2_pS345,R,PRKAA2,V,GBL1103698,AMPK-a2_pS345-R-V,0.898636147,14,AMPK-a2_pS345-R-V,NormLog2,-0.207692251,-0.2186713,0.318506251,0.28350458
AMPKa,R,PRKAA1,C,GBL1103382,AMPKa-R-C,0.972154491,15,AMPKa-R-C,NormLog2,0.173665929,0.138596247,-0.216587454,-0.230009313
AMPKa_pT172,R,PRKAA1,C,GBL1103383,AMPKa_pT172-R-C,0.969859028,16,AMPKa_pT172-R-C,NormLog2,0.191780881,0.434598918,-1.122188732,-1.19051173
Annexin-I,M,ANXA1,V,GBL1103638,Annexin-I-M-V,0.953182492,17,Annexin-I-M-V,NormLog2,0.241626355,0.19322786,-0.335319687,-0.536154136
Annexin-VII,M,ANXA7,V,GBL1103634,Annexin-VII-M-V,0.87275648,18,Annexin-VII-M-V,NormLog2,-0.21200288,-0.176513214,0.17462896,0.326959077
AR,R,AR,V,GBL1103448,AR-R-V,0.969269085,19,AR-R-V,NormLog2,0.299865682,0.008730719,0.017566204,-0.178375734
ARID1A,R,ARID1A,C,GBL1103554,ARID1A-R-C,0.966148846,20,ARID1A-R-C,NormLog2,1.440940954,0.273813888,-0.540571994,-0.807043151
Atg3,R,ATG3,V,GBL1103562,Atg3-R-V,0.913380826,21,Atg3-R-V,NormLog2,0.121420198,0.129939897,-0.199027868,-0.53258845
Atg7,R,ATG7,V,GBL1103563,Atg7-R-V,0.974982713,22,Atg7-R-V,NormLog2,0.373719428,0.262541348,-0.509313086,-1.204744375
ATM,R,ATM,V,GBL1103543,ATM-R-V,0.957239327,23,ATM-R-V,NormLog2,0.097687362,-0.027162472,0.072877734,-0.137019953
ATM_pS1981,R,ATM,V,GBL1103699,ATM_pS1981-R-V,0.910665163,24,ATM_pS1981-R-V,NormLog2,-0.315909286,-0.119587685,0.174694128,0.257135733
ATRX,R,ATRX,C,GBL1103559,ATRX-R-C,0.958240941,25,ATRX-R-C,NormLog2,0.898700017,-0.06739607,0.130936851,-0.107240545
ATR_pS428,R,ATR,C,GBL1103586,ATR_pS428-R-C,0.969557143,26,ATR_pS428-R-C,NormLog2,0.270798584,0.095565826,-0.132312986,-0.352670564
Aurora-B,R,AIM1,V,GBL1103551,Aurora-B-R-V,0.965365856,27,Aurora-B-R-V,NormLog2,-0.288276069,-0.145897598,0.233750642,0.27852282
Axl,R,AXL,V,GBL1103531,Axl-R-V,0.954252593,28,Axl-R-V,NormLog2,-0.846080339,-0.454266268,0.463365176,0.37085954
b-Actin,R,ACTB,C,GBL1103512,b-Actin-R-C,0.935390751,29,b-Actin-R-C,NormLog2,-0.215020544,0.096476368,-0.134021029,-0.709429704
b-Catenin,R,CTNNB1,V,GBL1103387,b-Catenin-R-V,0.939748397,30,b-Catenin-R-V,NormLog2,0.357276188,0.341284342,-0.749365571,-0.835965072
b-Catenin_pT41_S45,R,CTNNB1,V,GBL1103513,b-Catenin_pT41_S45-R-V,0.958739975,31,b-Catenin_pT41_S45-R-V,NormLog2,-0.100046158,-0.068898955,0.061357278,0.189450112
B-Raf,R,BRAF,C,GBL1103599,B-Raf-R-C,0.962847609,32,B-Raf-R-C,NormLog2,0.140927312,0.259150553,-0.500088226,-0.761965976
B-Raf_pS445,R,BRAF,V,GBL1103391,B-Raf_pS445-R-V,0.974517509,33,B-Raf_pS445-R-V,NormLog2,0.248367747,0.261506226,-0.506488413,-0.836544176
B7-H4,R,VTCN1,C,GBL1103581,B7-H4-R-C,0.916966525,34,B7-H4-R-C,NormLog2,-0.064841063,-0.008295857,0.044240483,0.053051825
Bad_pS112,R,BAD,V,GBL1103384,Bad_pS112-R-V,0.967764085,35,Bad_pS112-R-V,NormLog2,-0.021878723,0.098136178,-0.137142584,-0.262490001
Bak,R,BAK1,C,GBL1103385,Bak-R-C,0.964836434,36,Bak-R-C,NormLog2,-0.092246429,-0.012069527,0.050044298,0.004520924
BAP1,M,BAP1,V,GBL1103694,BAP1-M-V,0.925076944,37,BAP1-M-V,NormLog2,0.034477557,0.019325468,-0.004397578,0.056972494
Bax,R,BAX,V,GBL1103386,Bax-R-V,0.959410761,38,Bax-R-V,NormLog2,-0.162459823,9.15847E-05,-0.124007736,0.087621155
Bcl-xL,R,BCL2L1,V,GBL1103388,Bcl-xL-R-V,0.968489034,39,Bcl-xL-R-V,NormLog2,-0.098123797,-0.067711444,0.086009765,0.187796305
Bcl2A1,R,BCL2A1,V,GBL1103533,Bcl2A1-R-V,0.953955198,40,Bcl2A1-R-V,NormLog2,-0.530884106,-0.309664981,-0.451574317,0.469037923
Beclin,G,BECN1,C,GBL1103702,Beclin-G-C,0.896430978,41,Beclin-G-C,NormLog2,-0.097400347,-0.021083318,0.014879792,0.120172647
Bid,R,BID,C,GBL1103389,Bid-R-C,0.955581887,42,Bid-R-C,NormLog2,0.122234225,0.09942188,-0.139567693,-0.325751832
Bim,R,BCL2L11,V,GBL1103390,Bim-R-V,0.953741683,43,Bim-R-V,NormLog2,-0.075508819,-0.127208105,0.210424619,0.253160296
BiP-GRP78,M,HSPA5,C,GBL1103641,BiP-GRP78-M-C,0.870202994,44,BiP-GRP78-M-C,NormLog2,-0.383311761,-0.085690236,0.021711488,0.212491354
BRD4,R,BRD4,V,GBL1103557,BRD4-R-V,0.964358851,45,BRD4-R-V,NormLog2,0.930737207,0.018318457,-0.03158983,0.058603647
c-Abl,R,ABL1,V,GBL1103556,c-Abl-R-V,0.96669711,46,c-Abl-R-V,NormLog2,0.069914368,-0.010350072,0.047404596,0.030220429
c-IAP2,R,BIRC3,C,GBL1103564,c-IAP2-R-C,0.944168629,47,c-IAP2-R-C,NormLog2,0.009083784,0.019888937,-0.000361209,-0.112999162
c-Jun_pS73,R,JUN,V,GBL1103396,c-Jun_pS73-R-V,0.96036637,48,c-Jun_pS73-R-V,NormLog2,-0.931052518,-0.408307656,0.036306332,0.558681099
c-Kit,R,KIT,V,GBL1103397,c-Kit-R-V,0.971056152,49,c-Kit-R-V,NormLog2,0.119195652,-0.061148708,0.122177795,-0.062264241
c-Met,M,MET,Q,GBL1103626,c-Met-M-Q,0.933464251,50,c-Met-M-Q,NormLog2,-0.052719126,0.007163183,0.020055941,0.06701722
c-Met_pY1234_Y1235,R,MET,V,GBL1103444,c-Met_pY1234_Y1235-R-V,0.932085008,51,c-Met_pY1234_Y1235-R-V,NormLog2,0.014768997,-0.075737687,0.142491514,0.153271845
c-Myc,R,MYC,C,GBL1103609,c-Myc-R-C,0.923092682,52,c-Myc-R-C,NormLog2,-0.582261115,-0.220152622,0.136479977,0.376557797
C-Raf,R,RAF1,C,GBL1103517,C-Raf-R-C,0.975415495,53,C-Raf-R-C,NormLog2,-0.150882756,-0.106451499,0.183702619,0.02181437
C-Raf_pS338,R,RAF1,V,GBL1103398,C-Raf_pS338-R-V,0.963170182,54,C-Raf_pS338-R-V,NormLog2,0.318817968,-0.098463535,0.015525263,0.229600684
Caspase-3,R,CASP3,C,GBL1103392,Caspase-3-R-C,0.950988428,55,Caspase-3-R-C,NormLog2,-0.143142967,-0.119875804,0.201085236,0.24598859
Caspase-7-cleaved,R,CASP7,C,GBL1103393,Caspase-7-cleaved-R-C,0.956991219,56,Caspase-7-cleaved-R-C,NormLog2,-0.48218834,-0.063658551,-0.168854095,0.182127347
